year,Name,Artists,Album_x,uris,acousticness,liveness,loudness,danceability,energy,speechiness,instrumentalness,tempo,valence,Path,Emotion
2018,if we have each other,Alec Benjamin,Narrated For You,7pT6WSg4PCt4mr5ZFyUfsF,0.698,0.296,-5.566,0.656,0.577,0.0802,0.0,173.094,0.861,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Alec Benjamin - If We Have Each Other.mp3,Happy
2015,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Justin Bieber - Love Yourself.mp3,Happy
2015,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Conor Maynard - Love Yourself.mp3,Happy
2015,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\AngrySongs\Justin Bieber - Love Yourself.mp3,Angry
2015,love yourself,Justin Bieber,Purpose (Deluxe),3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Justin Bieber - Love Yourself.mp3,Calm
2015,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Justin Bieber - Love Yourself.mp3,Happy
2015,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Conor Maynard - Love Yourself.mp3,Happy
2015,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\AngrySongs\Justin Bieber - Love Yourself.mp3,Angry
2015,love yourself,Conor Maynard,Covers,0Cgd9QmbRtRbKXKyOlVnGb,0.82,0.237,-9.167,0.8,0.406,0.335,0.0,99.949,0.728,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\CalmSongs\Justin Bieber - Love Yourself.mp3,Calm
2015,love yourself,Justin Bieber,Purpose (Deluxe),50kpGaPAhYJ3sGmk6vplg0,0.835,0.28,-9.828,0.609,0.378,0.438,0.0,100.418,0.515,\Users\nitin\Desktop\capstone\front_end_code\oldSongs\HappySongs\Justin Bieber - Love Yourself.mp3,Happy
